Orden;Codigo;latitud;longitud 
24141489;163402;1,2986103;-77,4541423
24173847;1174927;1,2858948;-77,4737791
24173874;230736;1,2618579;-77,5127735
24177106;311374;1,3342749;-77,5931194
24179382;198496;1,4768697;-77,4189815
24314359;8532789;1,2225667;-77,6797857
24314368;1215366;1,2863398;-77,4725342
24314863;1025418;1,3507067;-77,5218711
24314890;1268126;1,4031016;-77,3856865
24314913;1100029;1,4402919;-77,4412917
24314919;1083476;1,441259;-77,4412768
24314926;1232349;1,2066916;-77,4667581
24369996;1111228;1,207291;-77,4690402
24370215;1174277;1,2825969;-77,4713002
24370224;223776;1,2785879;-77,4745447
24535940;1267532;1,3379452;-77,3746131
24536492;1059046;1,2859859;-77,4732306
24537236;226806;1,2860354;-77,4732897
24665775;8538523;1,2880934;-77,4717835
24670331;221678;1,2852375;-77,4687528
24697402;1254701;1,2883695;-77,4725032
24697426;224468;1,2852644;-77,468719
24716588;1213079;1,2884898;-77,4725698
24832113;1158524;1,2859223;-77,4732877
24835801;1097435;1,2859484;-77,4732594
24882551;235652;1,3101773;-77,5260177
24916461;620648;1,285322;-77,4686678
24970352;226650;1,2844981;-77,4384963
24974469;223424;1,2876772;-77,4701366
25068462;637443;1,2312834;-77,4880016
25124450;165216;1,3615492;-77,3381026
25248343;1134958;1,5303186;-77,6422756
25339110;1153551;1,2859072;-77,4732752
25345537;475506;1,2859756;-77,4732167
25346162;225272;1,28598;-77,4732188
25346174;535329;1,2859919;-77,4732139
25346745;199010;1,4947498;-77,4528509
25359031;223562;1,2859952;-77,4732621
25371837;1114542;1,3341691;-77,5931041
25372686;1263443;1,4102417;-77,3946244
25374838;223216;1,2835126;-77,4721506
25397532;641326;1,2973175;-77,4171856
25471137;553488;1,2860185;-77,4732775
25471217;174716;1,37646;-77,3490945
25502260;224302;1,338473;-77,3274934
25601235;445412;1,2323499;-77,4886634
25601280;1075300;1,3270959;-77,3534158
25605026;232870;1,3516585;-77,5227015
25638440;232748;1,2859628;-77,4732275
25663650;225810;1,3269665;-77,4630005
25663784;165744;1,3721131;-77,3386515
25664034;641747;1,1639624;-77,5925518
25700739;1057599;1,4318967;-77,370104
25745719;8532639;1,3363636;-77,5999656
25844420;1042428;1,3576152;-77,6100082
25845172;1046469;1,4935567;-77,5213019
25845208;1224790;1,4033362;-77,3843338
25866145;8556559;1,4932591;-77,5272012
25866408;230650;1,2899484;-77,4696903
25866824;154498;1,3244773;-77,3345848
25905023;1060887;1,3021515;-77,4615049
25908665;223818;1,2767974;-77,4757667
25908670;573986;1,2511078;-77,5738329
25941485;1132516;1,2859611;-77,4732482
25941505;1062944;1,4653296;-77,3127235
25941512;564945;1,2800296;-77,4950309
25941571;1227882;1,2859684;-77,4732784
25941602;1219793;1,285964;-77,4732559
25944923;321604;1,3437497;-77,5584632
25945825;458610;1,3388961;-77,5923059
25964553;1028735;1,3054194;-77,370875
26063507;224698;1,2859155;-77,4732833
26063510;462518;1,2859086;-77,4733032
26063920;1056239;1,2030026;-77,4340334
26064318;1105931;1,2961744;-77,4014494
26064452;1065334;1,1919777;-77,6870127
26094897;1048109;1,3341186;-77,59309
26121571;645205;1,2859575;-77,4732385
26123138;1048410;1,5618413;-77,5059717
26153653;573626;1,3402511;-77,4186168
26208504;1065897;1,2700642;-77,3334082
26208512;1202770;1,28861;-77,36559
26208929;641431;1,3586339;-77,3150585
26222132;229996;1,2551829;-77,4684765
26265065;526402;1,4072027;-77,3906394
26330474;1224869;1,3360102;-77,5914002
26330485;163224;1,2910467;-77,4062921
26331351;180056;1,4572221;-77,4404651
26356987;560776;1,2986238;-77,4041117
26357992;1107974;1,2032268;-77,5703217
26359747;8537777;1,2991972;-77,4056024
26360465;637752;1,2695567;-77,5258371
26459880;228926;1,2513748;-77,4869935
26460648;232998;1,351492;-77,5234122
26461796;1227485;1,4108411;-77,3974338
26461915;163808;1,2954838;-77,400901
26462002;1060257;1,1953399;-77,4633033
26466356;1219636;1,2889063;-77,4700386
26467236;1027075;1,289948;-77,47021
26492891;545767;1,2769633;-77,4751551
26509745;1019779;1,2769585;-77,4750654
26509909;466856;1,2649273;-77,5287194
26509915;223886;1,2769976;-77,4750791
26510275;222690;1,2823295;-77,4710009
26510280;223892;1,2770059;-77,4750811
26511975;1179625;1,2625702;-77,5155837
26512056;224226;1,2859071;-77,4732481
26544577;321696;1,3485164;-77,571078
26567944;1059668;1,3356133;-77,5918588
26632328;1224589;1,2746402;-77,4774899
26673955;235120;1,4008408;-77,540444
26674330;229270;1,2367673;-77,4973076
26681312;1067519;1,3688117;-77,5235216
26682214;225740;1,3233822;-77,4658898
26801492;1075302;1,3234528;-77,3506887
26803538;1008436;1,5144449;-77,4379216
26886459;227706;1,2090766;-77,4711478
26922019;633897;1,278168;-77,4905689
26947608;1211200;1,405507;-77,3984282
26950643;227048;1,2885041;-77,4722875
27031167;222206;1,2859644;-77,4731607
27031170;222740;1,3026777;-77,4004005
27031172;222680;1,4023717;-77,3848702
27031177;222660;1,4466659;-77,4241111
27031855;235726;1,262624;-77,5274828
27032895;573812;1,4947516;-77,5220816
27032985;1064821;1,3342096;-77,5299007
27033455;163502;1,285965;-77,4731686
27033770;222662;1,2859585;-77,4732051
27033882;1046480;1,2859556;-77,4732026
27057244;1212578;1,1658313;-77,4598419
27058430;8517398;1,2987631;-77,4063963
27058868;221576;1,2864371;-77,4700575
27082482;198348;1,4692306;-77,4212843
27083719;176466;1,2859949;-77,4732379
27128713;1051489;1,3531139;-77,4271336
27131142;224750;1,3020078;-77,4534095
27131164;198374;1,4767243;-77,4194551
27131174;8546540;1,3188311;-77,3306785
27131186;154532;1,3189888;-77,3277231
27131517;225448;1,3358031;-77,4766345
27180751;224094;1,2785777;-77,4745533
27180755;224090;1,2858763;-77,4732669
27180763;224082;1,2875215;-77,4690366
27180769;224080;1,278517;-77,474544
27181147;222506;1,2884066;-77,472469
27190522;1076451;1,3312999;-77,6018739
27250338;1087846;1,296577;-77,4630742
27289011;1153926;1,3088704;-77,4725216
27306485;572730;1,3088633;-77,4725189
27306506;432818;1,3077309;-77,4109275
27307378;1163372;1,2884638;-77,4723105
27307413;1163371;1,28832;-77,472423
27307619;319122;1,334558;-77,5942256
27307683;1104424;1,2796433;-77,4746012
27378381;8535949;1,3500047;-77,5210054
27379509;1121003;1,2172712;-77,4789313
27379989;227644;1,2886082;-77,4722376
27381438;529075;1,2929061;-77,3790212
27387260;319816;1,2858686;-77,6179918
27387692;223258;1,2806977;-77,4723869
27421417;1166615;1,2883491;-77,4722134
27421886;232550;1,3504053;-77,5223926
27434264;1230688;1,4053161;-77,3705905
27434314;1091017;1,4680182;-77,3644986
27434392;1070449;1,4453363;-77,3763379
27435888;221410;1,287391;-77,4695216
27442159;198298;1,4881109;-77,4095725
27445993;1004120;1,3898636;-77,4620085
27452116;1215004;1,2884789;-77,4723237
27452161;165004;1,3622316;-77,3119303
27452625;234052;1,4185602;-77,5307617
27454328;1009228;1,2885127;-77,4722571
27460191;475522;1,3931955;-77,4586955
27467840;566688;1,3535377;-77,3493722
27482586;631148;1,4131534;-77,4047834
27482613;1220869;1,3568496;-77,3394566
27502479;1079761;1,3123447;-77,4079784
27502713;1189111;1,2992966;-77,6124654
27549448;235264;1,2859722;-77,4732109
27551481;222166;1,2859679;-77,4732103
27551490;1088110;1,2859637;-77,4732009
27552704;222154;1,2883784;-77,4716517
27552710;222158;1,2884644;-77,4723092
27555212;550690;1,2110137;-77,4746248
27555259;623555;1,2114655;-77,4750587
27555881;222878;1,2468129;-77,4926824
27555916;222872;1,2853201;-77,4721367
27555970;223334;1,2859587;-77,4732091
27556091;221652;1,2842625;-77,4677372
27600429;176448;1,413205;-77,3930078
27600496;236096;1,2859651;-77,4732309
27644360;222996;1,2859471;-77,4732432
27644793;223032;1,2859544;-77,4732371
27644798;407338;1,2859499;-77,4732685
27649372;1035991;1,2549374;-77,4728011
27649668;180564;1,426715;-77,461973
27650449;8527290;1,2884593;-77,4722865
27679515;1151748;1,2724317;-77,4815372
27697480;163772;1,3103573;-77,4109588
27697484;163770;1,3098025;-77,4107503
27698403;1065280;1,4452665;-77,4340518
27725689;595000;1,2884382;-77,4723046
27725695;616563;1,28843;-77,4723107
27725704;165758;1,3729324;-77,3364559
27725729;157454;1,3312713;-77,3383942
27743095;223332;1,2885096;-77,4722912
27743097;221232;1,2884462;-77,4722823
27743100;223034;1,2884554;-77,472286
27746644;156750;1,334788;-77,4173754
27746717;229942;1,2879842;-77,4718101
27751342;431854;1,2900479;-77,4694937
27788135;166712;1,2896017;-77,3581338
27803821;8546872;1,3412746;-77,3322267
27803836;527604;1,2885447;-77,4722819
27818172;175246;1,4090783;-77,3449153
27824507;1061245;1,285977;-77,4732163
27824543;582887;1,2859595;-77,4732227
27824554;158818;1,3030583;-77,4606458
27824648;158820;1,2859717;-77,4732649
27852201;1133825;1,2885452;-77,472286
27884703;414062;1,3730499;-77,516884
27884981;163858;1,3927758;-77,3734689
27884985;163862;1,2861161;-77,41808
27884999;163832;1,4193278;-77,414383
27899506;1065341;1,1911575;-77,6887019
27919874;164566;1,2859441;-77,473199
27963288;1030886;1,3347368;-77,5920998
27993413;229726;1,234981;-77,4875892
28023704;221524;1,2859047;-77,4732701
28024132;1064526;1,465739;-77,3147244
28024168;165382;1,3570587;-77,3155732
28024195;221908;1,4127652;-77,391925
28028511;1263972;1,4150868;-77,3917919
28046960;1219873;1,2988321;-77,3975115
28046973;1148877;1,2869619;-77,4191958
28111025;1052985;1,3350358;-77,3475794
28112736;157524;1,2859581;-77,4732567
28112756;164236;1,2859531;-77,4732609
28113731;221910;1,2859626;-77,4732583
28132133;164646;1,3308243;-77,3368912
28132140;157466;1,2982631;-77,4025747
28132144;225328;1,3230262;-77,4792906
28133648;1032418;1,2883653;-77,4078383
28134607;164062;1,288554;-77,4722752
