Codigo;Orden;latitud;longitud
398912;23390767;1.3185316;-77.3340197
1188973;23516704;1.1955034;-77.4631828
1038328;23533340;1.452893;-77.4380193
467980;23533530;1.3101015;-77.471245
8537300;23628891;1.2857552;-77.4696351
8537297;23628897;1.285778;-77.4696904
1185264;23629837;1.2865581;-77.4735437
1210797;23639490;1.4540769;-77.4367045
1086507;23639574;1.4539892;-77.4343574
8560787;23640508;1.2986481;-77.4541653
8560789;23650946;1.366419;-77.4502428
8560790;23650957;1.2852418;-77.4687444
8560791;23651053;1.2943814;-77.482842
224398;23651386;1.3015283;-77.4582279
8560824;23652155;1.4505787;-77.5668345
8560831;23652249;1.4505882;-77.5668106
8560846;23653904;1.3017826;-77.457615
319550;23654110;1.332773;-77.5978634
8560852;23654244;1.4119248;-77.3934119
8560854;23654535;1.4037565;-77.3876394
8560856;23654567;1.4037291;-77.3875611
570545;23659453;1.4056896;-77.388133
8560858;23692214;1.411975;-77.3933551
1121511;23692242;1.286454;-77.4699909
8560859;23692402;1.4535018;-77.4396813
322832;23725926;1.3186567;-77.5807653
8560880;23726127;1.4966139;-77.5213666
8560882;23726412;1.4919619;-77.5211443
8560883;23726931;1.5753801;-77.4680619
1017718;23727091;1.2669458;-77.635693
1114699;23727161;1.4393752;-77.4382992
1004147;23727171;1.4023599;-77.4534318
8560889;23758990;1.3379476;-77.5936383
8560893;23759160;1.2240536;-77.6758332
8560895;23759925;1.4535166;-77.4396884
235412;23795905;1.2781974;-77.4905405
224220;23795951;1.2866954;-77.4752136
8533343;23858617;1.2826736;-77.4788839
645226;23877615;1.2909634;-77.47049
234808;23947223;1.4269751;-77.5105374
635706;23947624;1.4249851;-77.5373211
1170010;23950823;1.2873699;-77.4693515
1241307;23990924;1.4009765;-77.5419395
8561100;23995954;1.2753329;-77.4745705
8561101;23996302;1.2658523;-77.3365692
8561104;23996793;1.4572857;-77.4290101
8561106;23996860;1.4572281;-77.4290453
8561107;23997002;1.1974194;-77.4660694
8561118;23999302;1.4558907;-77.4327768
8561120;23999417;1.2888901;-77.3594746
616529;24000031;1.2088387;-77.4694469
8561141;24000518;1.2870054;-77.3506027
8561142;24000618;1.2847499;-77.4700441
8561146;24079167;1.2174055;-77.4790358
8561148;24079227;1.1958334;-77.4619243
8561152;24079297;1.1958583;-77.4621207
8561156;24079394;1.1957659;-77.4657574
8561177;24079676;1.2151764;-77.4769883
8561178;24079810;1.2977773;-77.4094499
8561204;24080899;1.2986505;-77.4541553
8561207;24080986;1.3509847;-77.3678526
1042816;24081194;1.4534075;-77.4417602
1046962;24081296;1.4097471;-77.395942
633897;24081305;1.2781605;-77.4905475
8561235;24081540;1.2395946;-77.5980437
8561240;24081667;1.2658434;-77.3364638
8561139;24081983;1.2986675;-77.4541497
176508;24100828;1.4121058;-77.3935665
8561271;24121701;1.2880361;-77.4683274
8561272;24121912;1.1848547;-77.4557702
8519161;24122440;1.2801312;-77.4730769
221280;24122529;1.2883219;-77.469003
8561285;24122591;1.2188794;-77.482727
321378;24122634;1.3431896;-77.5902076
8561293;24123032;1.3119011;-77.4339908
1214244;24123103;1.3340332;-77.5887344
223008;24123111;1.2878856;-77.4699477
8561298;24123202;1.3430757;-77.5902448
8561300;24123257;1.3431051;-77.5903048
221880;24123382;1.2835581;-77.4680998
319346;24123449;1.3328932;-77.5935228
1119773;24123454;1.2895097;-77.4709677
8561308;24123472;1.3348908;-77.5995525
8523681;24123576;1.1881017;-77.4456144
320480;24131872;1.2217496;-77.6781583
8561328;24141317;1.3349399;-77.599574
1085908;24141374;1.4081453;-77.3941268
8561331;24141376;1.3348901;-77.5995323
163402;24141489;1.2986103;-77.4541423
8561339;24141707;1.2856378;-77.4705241
8561347;24141812;1.4749191;-77.5797494
8561351;24141877;1.474948;-77.5797619
8561355;24141987;1.3025271;-77.4171468
320644;24142190;1.2239328;-77.6768278
8561357;24142267;1.2900614;-77.3551965
8561361;24142373;1.3428272;-77.5899678
536753;24142385;1.4109752;-77.3969336
229414;24142429;1.2496833;-77.4965351
8526425;24142524;1.3401895;-77.5923865
8561370;24142615;1.2791368;-77.474364
8561378;24142726;1.2858918;-77.475204
1230183;24142774;1.2876894;-77.4684479
1116836;24142812;1.2843801;-77.4701798
1160009;24142865;1.2879871;-77.4717734
223390;24142870;1.2882546;-77.4708268
8561409;24172965;1.2794645;-77.4803598
8561417;24173043;1.3431137;-77.5901208
1068871;24173174;1.2863867;-77.4693591
8561426;24173219;1.3288879;-77.5879393
8561433;24173375;1.2899887;-77.3551645
1174927;24173847;1.2858948;-77.4737791
8541984;24173851;1.2638626;-77.5181174
1072738;24173862;1.5000541;-77.5168501
230736;24173874;1.2618579;-77.5127735
319348;24173877;1.3328673;-77.5933277
1242277;24173886;1.3090899;-77.6091421
8561475;24175854;1.2872727;-77.471291
8561481;24175895;1.3326622;-77.4119406
8561491;24176339;1.352695;-77.3368961
8561496;24176496;1.2608722;-77.514036
8561504;24176794;1.2949068;-77.3777989
8561506;24177088;1.2780982;-77.4750129
311374;24177106;1.3342749;-77.5931194
452192;24177228;1.2555421;-77.6467461
