Municipio;Contrato;Codigo;Orden;U. Genera;Generacion;Ejecucion;Duracion Odt;Acciones;latitud;longitud
IPIALES;PRI 232.2023;1088355;23356481;Facturacion;2022-12-22 00:00;2023-02-10 16:16;00:32 Min;REVISION;0.8240011;-77.6367861
IPIALES;PRI 232.2023;259264;23390865;Facturacion;2022-12-26 00:00;2023-03-13 12:01;00:46 Min;INSTALACION;0.6618912;-77.5678661
IPIALES;PRI 232.2023;8554974;23516510;Facturacion;2023-01-02 00:00;2023-02-08 14:39;00:18 Min;REVISION;0.8281412;-77.6239677
IPIALES;PRI 232.2023;510614;23533399;Facturacion;2023-01-03 00:00;2023-02-08 17:25;01:04 Min;REVISION;0.8378047;-77.6380788
PUPIALES;PRI 232.2023;282584;23533615;Facturacion;2023-01-03 00:00;2023-02-11 10:41;00:46 Min;INSTALACION;0.8608444;-77.6395665
ALDANA;PRI 232.2023;239746;23533639;Facturacion;2023-01-03 00:00;2023-02-06 10:23;02:08 Min;REVISION;0.8456095;-77.677382
ALDANA;PRI 232.2023;1089685;23533644;Facturacion;2023-01-03 00:00;2023-02-06 16:10;00:50 Min;REVISION;0.8526066;-77.677525
IPIALES;PRI 232.2023;587155;23533965;Facturacion;2023-01-03 00:00;2023-02-17 11:37;00:36 Min;REVISION;0.719257;-77.5016711
IPIALES;PRI 232.2023;587311;23533975;Facturacion;2023-01-03 00:00;2023-02-17 10:26;00:50 Min;INSTALACION;0.7166534;-77.4802552
GUACHUCAL;PRI 232.2023;288250;23534171;Facturacion;2023-01-03 00:00;2023-02-15 11:51;00:28 Min;REVISION;0.9317516;-77.7898804
ALDANA;PRI 232.2023;273978;23621410;Facturacion;2023-01-10 00:00;2023-02-07 17:14;00:37 Min;REVISION;0.8642104;-77.6838636
ALDANA;PRI 232.2023;274174;23621415;Facturacion;2023-01-10 00:00;2023-02-07 14:12;00:52 Min;REVISION;0.875992;-77.6939744
ALDANA;PRI 232.2023;1053247;23621418;Facturacion;2023-01-10 00:00;2023-02-07 13:17;00:31 Min;REVISION;0.8734918;-77.6952088
CUASPUD;PRI 232.2023;8551155;23621424;Facturacion;2023-01-10 00:00;2023-02-08 10:59;00:43 Min;INSTALACION;0.8755628;-77.7679923
NN;PRI 232.2023;1236136;23621437;Facturacion;2023-01-10 00:00;2023-02-13 16:54;00:17 Min;REVISION;0.8588247;-77.7948563
CUMBAL;PRI 232.2023;1121369;23621439;Facturacion;2023-01-10 00:00;2023-02-13 11:15;00:59 Min;REVISION;0.821842;-77.8676291
CUMBAL;PRI 232.2023;1128459;23621449;Facturacion;2023-01-10 00:00;2023-02-13 13:24;00:32 Min;REVISION;0.8117689;-77.8469302
GUACHUCAL;PRI 232.2023;1154859;23621455;Facturacion;2023-01-10 00:00;2023-02-15 13:17;00:50 Min;INSTALACION;0.9964166;-77.754388
POTOSI;PRI 232.2023;1032609;23621475;Facturacion;2023-01-10 00:00;2023-02-17 17:04;142:38 Min;REVISION;0.7768804;-77.605722
POTOSI;PRI 232.2023;632914;23621480;Facturacion;2023-01-10 00:00;2023-02-28 11:34;00:29 Min;REVISION;0.7803226;-77.6014373
IPIALES;PRI 232.2023;8546915;23621486;Facturacion;2023-01-10 00:00;2023-02-10 14:22;00:16 Min;REVISION;0.6557088;-77.5431802
IPIALES;PRI 232.2023;8553577;23621492;Facturacion;2023-01-10 00:00;2023-02-10 17:17;00:36 Min;REVISION;0.6747118;-77.531472
CUMBAL;PRI 232.2023;1119715;23621622;Facturacion;2023-01-10 00:00;2023-02-13 14:07;00:46 Min;REVISION;0.8098635;-77.8460813
CUASPUD;PRI 232.2023;1176157;23621844;Facturacion;2023-01-10 00:00;2023-02-08 16:05;00:35 Min;REVISION;0.8675037;-77.7244059
GUACHUCAL;PRI 232.2023;1124994;23621855;Facturacion;2023-01-10 00:00;2023-03-02 14:17;00:19 Min;REVISION;0.9599183;-77.7332346
ALDANA;PRI 232.2023;273456;23627420;Facturacion;2023-01-10 00:00;2023-02-07 11:00;00:38 Min;REVISION;0.881239;-77.7006328
CUMBAL;PRI 232.2023;571666;23627440;Facturacion;2023-01-10 00:00;2023-03-07 16:10;01:02 Min;INSTALACION;0.9108489;-77.7857947
PUPIALES;PRI 232.2023;476082;23627499;Facturacion;2023-01-10 00:00;2023-02-10 14:27;00:56 Min;REVISION;0.867043;-77.6374627
PUPIALES;PRI 232.2023;1229784;23627507;Facturacion;2023-01-10 00:00;2023-02-11 09:46;00:20 Min;REVISION;0.8680336;-77.6382193
PUPIALES;PRI 232.2023;1102721;23627515;Facturacion;2023-01-10 00:00;2023-03-03 12:17;00:43 Min;REVISION;0.8684344;-77.6389343
PUPIALES;PRI 232.2023;1059083;23627534;Facturacion;2023-01-10 00:00;2023-02-10 13:09;00:20 Min;REVISION;0.8716799;-77.641253
FUNES;PRI 232.2023;297534;23627612;Facturacion;2023-01-10 00:00;2023-02-16 10:16;06:03 Min;REVISION;1.0018045;-77.4459928
IPIALES;PRI 232.2023;290646;23627625;Facturacion;2023-01-10 00:00;2023-02-08 17:24;01:01 Min;REVISION;0.8908742;-77.5480083
IPIALES;PRI 232.2023;258506;23627642;Facturacion;2023-01-10 00:00;2023-02-10 15:57;00:22 Min;INSTALACION;0.6720993;-77.5362723
IPIALES;PRI 232.2023;258326;23627653;Facturacion;2023-01-10 00:00;2023-02-10 09:32;00:26 Min;REVISION;0.6707136;-77.5348314
POTOSI;PRI 232.2023;293596;23627708;Facturacion;2023-01-10 00:00;2023-02-23 10:01;00:55 Min;REVISION;0.8065666;-77.5727343
GUACHUCAL;PRI 232.2023;1126997;23627757;Facturacion;2023-01-10 00:00;2023-02-24 14:23;00:18 Min;REVISION;0.9553676;-77.7334245
PUPIALES;PRI 232.2023;278614;23627946;Facturacion;2023-01-10 00:00;2023-02-10 13:47;00:29 Min;REVISION;0.8712304;-77.6406886
PUPIALES;PRI 232.2023;438302;23628749;Facturacion;2023-01-11 00:00;2023-02-24 10:34;01:14 Min;INSTALACION;0.9395767;-77.6142034
POTOSI;PRI 232.2023;1054451;23628752;Facturacion;2023-01-11 00:00;2023-02-22 15:13;01:09 Min;INSTALACION;0.7773094;-77.5558108
IPIALES;PRI 232.2023;248390;23628793;Facturacion;2023-01-11 00:00;2023-02-17 17:50;00:51 Min;REVISION;0.8311852;-77.6475702
CUMBAL;PRI 232.2023;1084263;23629042;Facturacion;2023-01-11 00:00;2023-02-15 16:31;00:41 Min;INSTALACION;0.9061026;-77.793206
IMUES;PRI 232.2023;1222004;23629717;Facturacion;2023-01-11 00:00;2023-02-15 15:56;00:28 Min;REVISION;1.0233985;-77.4723511
IMUES;PRI 232.2023;1138222;23629728;Facturacion;2023-01-11 00:00;2023-02-16 11:21;00:47 Min;REVISION;1.0242217;-77.4733255
PUPIALES;PRI 232.2023;278644;23629758;Facturacion;2023-01-11 00:00;2023-02-10 09:21;00:45 Min;REVISION;0.870553;-77.6401569
PUPIALES;PRI 232.2023;278688;23629767;Facturacion;2023-01-11 00:00;2023-02-10 10:35;01:04 Min;INSTALACION;0.8696975;-77.6390127
CUMBAL;PRI 232.2023;259654;23629842;Facturacion;2023-01-11 00:00;2023-02-16 14:03;00:23 Min;REVISION;0.9089963;-77.7891215
CUMBAL;PRI 232.2023;1091286;23629863;Facturacion;2023-01-11 00:00;2023-02-16 15:11;00:28 Min;REVISION;0.9081281;-77.789831
CUMBAL;PRI 232.2023;259794;23629870;Facturacion;2023-01-11 00:00;2023-02-16 16:03;00:18 Min;REVISION;0.9081054;-77.7899545
CUMBAL;PRI 232.2023;1088274;23629875;Facturacion;2023-01-11 00:00;2023-02-15 12:59;00:27 Min;REVISION;0.908158;-77.7902616
CUMBAL;PRI 232.2023;8536618;23652312;Facturacion;2023-01-12 00:00;2023-02-27 16:28;00:21 Min;REVISION;0.9045575;-77.7933772
IMUES;PRI 232.2023;292872;23652391;Facturacion;2023-01-12 00:00;2023-02-15 13:52;00:21 Min;REVISION;1.0266959;-77.4667054
IPIALES;PRI 232.2023;250780;23652408;Facturacion;2023-01-12 00:00;2023-02-09 08:36;02:44 Min;REVISION;0.8233235;-77.6398148
PUPIALES;PRI 232.2023;278988;23652589;Facturacion;2023-01-12 00:00;2023-02-10 13:37;00:51 Min;REVISION;0.8782262;-77.6423425
PUPIALES;PRI 232.2023;1126345;23652605;Facturacion;2023-01-12 00:00;2023-02-10 12:01;00:41 Min;REVISION;0.8684141;-77.62175
PUPIALES;PRI 232.2023;8534396;23652619;Facturacion;2023-01-12 00:00;2023-02-10 11:39;00:37 Min;REVISION;0.8695084;-77.6380102
PUPIALES;PRI 232.2023;435584;23652644;Facturacion;2023-01-12 00:00;2023-02-10 14:50;01:56 Min;REVISION;0.883599;-77.6470294
PUPIALES;PRI 232.2023;1158515;23652668;Facturacion;2023-01-12 00:00;2023-02-24 15:10;00:48 Min;REVISION;0.8676491;-77.6386669
CUMBAL;PRI 232.2023;260326;23653677;Facturacion;2023-01-13 00:00;2023-02-14 16:12;00:22 Min;REVISION;0.907798;-77.7913379
CUMBAL;PRI 232.2023;8550503;23653710;Facturacion;2023-01-13 00:00;2023-02-14 14:50;00:20 Min;REVISION;0.9095905;-77.7857015
CUMBAL;PRI 232.2023;260324;23653724;Facturacion;2023-01-13 00:00;2023-02-16 13:33;00:14 Min;REVISION;0.9080349;-77.7912645
CONTADERO;PRI 232.2023;290582;23653925;Facturacion;2023-01-13 00:00;2023-02-08 09:42;02:04 Min;REVISION;0.9372678;-77.5556376
GUACHUCAL;PRI 232.2023;415838;23692307;Facturacion;2023-01-13 00:00;2023-02-15 12:44;00:19 Min;INSTALACION;0.9822879;-77.7580044
