Codigo;Orden;latitud;longitud
1162267;19217795;1.3885877,-77.1355993;
1072998;22741737;1.6233382,-76.9387336;
1076913;22817314;1.4152091,-77.1206989;
403572;22832639;1.4044803,-77.0272637;
8559064;22853577;1.6375949,-77.0928181;
642136;23234999;1.4196389,-77.0029719;
1029076;23235146;1.3940212,-77.0211206;
613650;23235835;1.3537139,-77.0101788;
629974;23250189;1.4117945,-77.1037935;
1093775;23342318;1.5787569,-76.9656358;
364780;23356608;1.6422159,-77.0284855;
412766;23389430;1.6176071,-77.0725347;
1236708;23391197;1.4743331,-77.08155;
1071900;23391288;1.6458969,-77.0327445;
8560625;23428012;1.5975468,-77.0166706;
1251840;23516984;1.6386443,-77.0927073;
1025752;23532309;1.4681314,-77.0240387;
1054646;23533790;1.6722776,-77.0148997;
474766;23621397;1.6715282,-77.0129899;
1062132;23621467;1.4716842,-77.0392524;
361672;23621595;1.6675266,-77.0121451;
603303;23621699;1.6725427,-77.0143632;
1250468;23629219;1.502074,-77.0520641;
8544479;23629926;1.6005123,-76.969801;
1186359;23995429;1.4455162,-77.0774088;
644053;23995440;1.3960716,-77.0270176;
1233118;23999404;1.4740575,-77.0170799;
1233188;24122505;1.5860683,-76.9645588;
1099784;24122552;1.4263797,-77.0969186;
1012518;24122586;1.3939351,-77.0266215;
373742;24122590;1.6012734,-76.939476;
425808;24122595;1.5031251,-77.0596806;
1123556;24122690;1.5461053,-76.9773782;
1106011;24122893;1.6729728,-77.0339896;
1119948;24122894;1.6714415,-77.0114227;
401856;24122895;1.6689176,-77.0231612;
557432;24122898;1.6688627,-77.0231581;
1239283;24122919;1.6176469,-77.0710028;
364198;24122932;1.6791477,-77.0559001;
630198;24122948;1.6432779,-77.0180292;
1041051;24123376;1.5962474,-76.970145;
8561305;24123417;1.6474761,-77.0359625;
8561306;24123447;1.6720731,-77.0131838;
8561307;24123462;1.5121654,-77.0706489;
8561310;24123497;1.4801635,-77.0806929;
8561312;24123515;1.3960172,-77.0227616;
8561313;24123535;1.5117145,-77.0492868;
8561314;24123557;1.4646553,-77.0815485;
8561315;24123573;1.4044635,-77.1254115;
8561316;24123588;1.4000473,-77.1241381;
8561317;24123608;1.4282573,-77.0964333;
8561327;24131883;1.4006451,-77.1237626;
8561329;24141253;1.4042667,-77.0233651;
8561330;24141365;1.4001765,-77.0229705;
8561333;24141432;1.4094662,-77.0232106;
8561336;24141488;1.4276969,-77.1117138;
8561338;24141623;1.4200721,-77.1177713;
8561340;24141671;1.40571,-77.0157382;
8561343;24141708;1.4792006,-77.0176633;
8561344;24141732;1.4743425,-77.0089717;
8561345;24141783;1.4238382,-77.0731666;
8561348;24141815;1.4239363,-77.0574759;
8561350;24141861;1.4492517,-77.0455693;
8561352;24141929;1.4706542,-77.0251759;
8561354;24141981;1.4077039,-77.1162667;
8561356;24142014;1.4024865,-77.1251575;
8535496;24142045;1.6052893,-76.9719049;
8561360;24142341;1.4768991,-77.0161683;
1002764;24142347;1.6023668,-76.9674414;
8561362;24142371;1.3995103,-77.1242833;
363220;24142431;1.6637353,-77.0607295;
361884;24142471;1.6695446,-77.0101096;
8561364;24142478;1.4272063,-77.0964933;
8561366;24142504;1.3998709,-77.1241519;
1188454;24142535;1.6024529,-76.9668291;
8561371;24142619;1.3985353,-77.1245586;
8561375;24142675;1.4785655,-77.0164732;
458698;24142703;1.5108482,-77.0489134;
569020;24142705;1.4086826,-77.0017161;
477782;24142708;1.5690901,-76.9378695;
196494;24142711;1.4087079,-77.1257842;
8561377;24142712;1.4093494,-77.0027549;
197092;24142715;1.4146598,-77.115625;
1147220;24142718;1.3288746,-77.0107075;
552111;24142721;1.4089246,-77.001818;
370524;24142725;1.6006719,-76.9703409;
520020;24142728;1.5973512,-76.9717829;
1252450;24142730;1.6110906,-76.9671539;
1049052;24172992;1.6022491,-76.9675621;
638893;24172995;1.6021544,-76.96756;
196254;24172999;1.4787314,-77.0204566;
196180;24173003;1.4788925,-77.0206414;
196162;24173006;1.4789769,-77.0206636;
630823;24173010;1.4788237,-77.0205118;
369162;24173038;1.5987452,-76.9725258;
574906;24173149;1.667446,-77.0135645;
430138;24173218;1.451154,-77.0384441;
1112222;24173376;1.511999,-77.0487973;
362598;24173478;1.6422728,-77.0187041;
361240;24173522;1.6698185,-77.0096732;
643928;24173548;1.5264889,-77.0389905;
1177885;24173588;1.667193,-77.0140012;
369066;24173784;1.5982676,-76.9745079;
8520132;24174087;1.6809225,-76.9682222;
409644;24174113;1.6904322,-77.0715967;
446926;24174122;1.6912385,-77.0715891;
8561448;24174191;1.6029566,-76.9707544;
8561452;24174330;1.4253617,-77.0984525;
8561455;24174349;1.4094454,-77.0567591;
8561458;24174377;1.4792512,-77.0175924;
8561460;24174398;1.5170991,-77.044885;
8561462;24174419;1.5968159,-76.9704382;
8561464;24174431;1.5098843,-77.0493761;
8561465;24174451;1.6033508,-76.9736565;
362058;24175870;1.6701389,-77.0105066;
8561484;24175928;1.6247922,-77.0673936;
456390;24175991;1.5165256,-77.046367;
