Codigo;Orden;latitud;longitud
353188;23516863;1.6020327;-77.1311659
1155568;23516865;1.5904381;-77.1319912
1104989;23516993;1.5899073;-77.1329458
352288;23621441;1.591214;-77.1326259
1138105;23621661;1.5974961;-77.1299631
1143596;23621679;1.5947225;-77.132454
8536536;23627451;1.5998909;-77.1318414
8534610;23628802;1.6009918;-77.1322907
1267084;23628902;1.6030372;-77.1325338
351444;23629888;1.6053413;-77.1325586
506074;23654101;1.6042893;-77.1325175
1018572;23654108;1.6042448;-77.1325051
1033985;23692342;1.6090566;-77.1325407
1176497;23692482;1.5987235;-77.1298896
1047119;23726296;1.6041203;-77.1310038
1188914;23783004;1.5908464;-77.1347328
1222077;23783943;1.5907714;-77.1346314
1106230;23796226;1.5711549;-77.279326
352722;23815033;1.5987663;-77.1311265
1249585;23815064;1.5683677;-77.1257345
8520085;23863985;1.6663169;-77.0741895
1080361;23876246;1.6116098;-77.1319587
1229911;23896092;1.6104026;-77.1353391
172914;23919105;1.5532661;-77.2760264
1249556;23948242;1.4601557;-77.1161686
174336;23950368;1.571746;-77.2792849
400404;23950423;1.6113046;-77.1285605
441580;23994841;1.5773695;-77.2266482
352240;24080907;1.5912562;-77.1330577
552930;24082442;1.5530604;-77.1251292
351230;24121909;1.6100545;-77.1333913
173824;24123237;1.5703713;-77.2827982
8540089;24141494;1.6146083;-77.1324234
1118155;24141563;1.6052302;-77.1291183
1105535;24141641;1.611729;-77.131319
353446;24142331;1.6069884;-77.131188
8561376;24142704;1.609371;-77.194071
8561380;24142765;1.5523218;-77.1192952
8561382;24142784;1.4877097;-77.0875578
8561384;24142847;1.5927422;-77.194185
8561386;24142903;1.5972195;-77.1906825
8561388;24142929;1.6056077;-77.1287235
8561389;24143121;1.5957783;-77.1512897
352610;24144160;1.5978738;-77.1300652
173648;24156579;1.5683175;-77.2788013
354470;24164371;1.5033339;-77.216495
8561411;24172981;1.5934061;-77.1905996
8561420;24173068;1.4920045;-77.1598288
8561424;24173155;1.599205;-77.1281396
640240;24173223;1.5999831;-77.1283646
8561428;24173248;1.614693;-77.1187839
8561435;24173447;1.5676791;-77.3346217
8561438;24173540;1.5512313;-77.323767
8561450;24174209;1.6606782;-77.1022136
8561457;24174373;1.6121153;-77.131561
8561467;24174470;1.5019069;-77.2419275
8533077;24176668;1.5867769;-77.1328789
1175317;24176849;1.613786;-77.1317874
1064132;24177167;1.6401222;-77.1614639
8561511;24177304;1.60715;-77.1320188
8561515;24177386;1.6094387;-77.1287868
8546542;24177402;1.5947827;-77.1325858
