Municipio;Codigo;Orden;U. Genera;Ejecucion;Duracion Odt;latitud;longitud
IMUES;327350;22700539;Facturacion;2023-05-15 09:45;00:28 Min;1.0985545;-77.5407568
IMUES;327446;22700544;Facturacion;2023-05-15 10:42;00:56 Min;1.0966727;-77.5606115
IMUES;641129;22700554;Facturacion;2023-05-12 14:59;00:28 Min;1.0514159;-77.4525947
IMUES;327486;22810660;Facturacion;2023-05-12 16:59;01:18 Min;1.0870428;-77.6200403
TUQUERRES;1065752;23307147;Facturacion;2023-02-11 08:55;00:50 Min;1.0868550539016724;-77.61898040771484
MALLAMA;8538995;23796595;Facturacion;2023-02-08 15:30;00:42 Min;1.1915321;-77.9328806
SAPUYES;307700;23859043;Facturacion;2023-02-10 08:49;00:15 Min;1.0348213;-77.6239786
RICAURTE;1219980;23877235;Facturacion;2023-02-08 11:09;02:07 Min;1.216421;-77.9997693
SAPUYES;307788;23877243;Facturacion;2023-02-10 09:34;00:23 Min;1.0380126;-77.6221863
RICAURTE;1062998;23895840;Facturacion;2023-02-08 14:08;00:53 Min;1.2097754;-77.9923709
GUAITARILLA;1249225;23895899;Facturacion;2023-02-20 13:18;00:48 Min;1.1280798;-77.5478731
MALLAMA;1207656;23896401;Facturacion;2023-02-08 17:24;00:32 Min;1.1406225;-77.8651216
TUQUERRES;627580;23980429;Facturacion;2023-02-10 09:00;01:42 Min;1.0943344;-77.6290796
SAPUYES;326326;23990475;Facturacion;2023-02-09 16:53;01:06 Min;1.0476206;-77.692872
GUAITARILLA;1014931;24102420;Ges. Energetica;2023-02-09 16:32;00:-51 Min;1.1292058;-77.5469614
IMUES;511758;24102422;Ges. Energetica;2023-02-08 10:23;01:17 Min;1.0537789;-77.4962657
IMUES;413494;24102432;Ges. Energetica;2023-02-08 14:42;18:27 Min;1.1026603;-77.5086683
IMUES;439848;24102434;Ges. Energetica;2023-02-08 16:50;16:14 Min;1.0871414;-77.619932
IMUES;533605;24102436;Ges. Energetica;2023-02-08 15:49;17:18 Min;1.0871175;-77.6199428
IMUES;400094;24102451;Ges. Energetica;2023-02-08 12:37;21:44 Min;1.0678388;-77.4719647
RICAURTE;1203705;24102457;Ges. Energetica;2023-02-25 15:02;01:29 Min;0.8018503785133362;-77.85536193847656
RICAURTE;1203715;24102458;Ges. Energetica;2023-02-25 07:33;02:23 Min;0.8031132221221924;-77.85499572753906
RICAURTE;1203778;24102460;Ges. Energetica;2023-02-25 09:59;00:09 Min;0.8031132221221924;-77.85499572753906
RICAURTE;1203909;24102462;Ges. Energetica;2023-02-25 15:05;02:00 Min;0.8023073077201843;-77.8558349609375
RICAURTE;1203834;24102463;Ges. Energetica;2023-02-25 10:49;00:10 Min;0.8031108975410461;-77.85499572753906
RICAURTE;1203623;24102465;Ges. Energetica;2023-02-25 10:37;00:04 Min;0.8031108975410461;-77.85499572753906
RICAURTE;1203655;24102466;Ges. Energetica;2023-02-25 10:59;00:05 Min;0.8031108975410461;-77.85499572753906
RICAURTE;1203662;24102469;Ges. Energetica;2023-02-25 10:40;00:08 Min;0.8031108975410461;-77.85499572753906
